Team,Arena,Capacity,City,State,Latitude,Longitude,CONF
Abilene Christian,Moody Coliseum,4600,Abilene,TX,32.470783,-99.709147,Slnd
Air Force,Clune Arena,5858,Colorado Springs,CO,39.013952,-104.883787,MWC
Akron,James A. Rhodes Arena,5500,Akron,OH,41.075816,-81.50601,MAC
Alabama,Coleman Coliseum,15383,Tuscaloosa,AL,33.203609,-87.53953,SEC
Alabama A&M,Elmore Gymnasium,6000,Normal,AL,34.785559,-86.575436,SWAC
Alabama St.,Dunn-Oliver Acadome,7400,Montgomery,AL,32.361867,-86.29318,SWAC
Albany,SEFCU Arena,4538,Guilderland,NY,42.68222,-73.828309,AE
Alcorn St.,Davey Whitney Complex,7000,Lorman,MS,31.873585,-91.133198,SWAC
American,Bender Arena,4500,Washington,DC,38.938637,-77.088249,Pat
Appalachian St.,George M. Holmes Convocation Center,8325,Boone,NC,36.211562,-81.674992,SB
Arizona,McKale Center,14545,Tucson,AZ,32.230408,-110.948059,P12
Arizona St.,Desert Financial Arena,14100,Tempe,AZ,33.425283,-111.92864,P12
Arkansas,Bud Walton Arena,19368,Fayetteville,AR,36.062464,-94.177369,SEC
Arkansas Little Rock,Jack Stephens Center,5600,Little Rock,AR,34.729086,-92.338826,SB
Arkansas Pine Bluff,K. L. Johnson Complex,4500,Pine Bluff,AR,34.246573,-92.021619,SWAC
Arkansas St.,First National Bank Arena,10563,Jonesboro,AR,35.845998,-90.672396,SB
Army,Christl Arena,5043,West Point,NY,41.38697,-73.964486,Pat
Auburn,Auburn Arena,9121,Auburn,AL,32.603843,-85.490053,SEC
Austin Peay,Dunn Center,9000,Clarksville,TN,36.019608,-77.7769,OVC
Ball St.,John E. Worthen Arena,11500,Muncie,IN,40.207722,-85.403697,MAC
Baylor,Ferrell Center,10347,Waco,TX,31.548617,-97.104296,B12
Belmont,Curb Event Center,5085,Nashville,TN,36.133194,-86.795917,OVC
Bethune Cookman,Moore Gymnasium,3000,Daytona,FL,29.213052,-81.028984,MEAC
Binghamton,Binghamton University Events Center,5142,Vestal,NY,42.094525,-75.968009,AE
Boise St.,Taco Bell Arena,12480,Boise,ID,43.604233,-116.19744,MWC
Boston College,Conte Forum,8606,Chestnut Hill,MA,42.336366,-71.167577,ACC
Boston University,Case Gym,1800,Boston,MA,42.354857,-71.120316,Pat
Bowling Green,Stroh Center,4700,Bowling Green,OH,41.376457,-83.62608,MAC
Bradley,Peoria Civic Center,11164,Peoria,IL,40.692704,-89.592518,MVC
Brown,Pizzitola Sports Center,2800,Providence,RI,41.832465,-71.397788,Ivy
Bryant,Chace Athletic Center,2700,Smithfield,RI,41.921824,-71.539372,NEC
Bucknell,Sojka Pavilion,4000,Lewisburg,PA,40.957546,-76.886282,Pat
Buffalo,Alumni Arena,6100,Amherst,NY,43.000738,-78.780524,MAC
Butler,Hinkle Fieldhouse,9100,Indianapolis,IN,39.844117,-86.165848,BE
BYU,Marriott Center,19000,Provo,UT,40.254785,-111.649342,WCC
Cal Baptist,CBU Events Center,5050,Riverside,CA,33.928009,-117.420123,WAC
Cal Poly,Robert A. Mott Athletics Center,3032,San Luis Obispo,CA,35.29985,-35.29985,BW
Cal St. Bakersfield,Icardo Center,3800,Bakersfield,CA,35.350236,-119.100145,WAC
Cal St. Fullerton,Titan Gym,4000,Fullerton,CA,33.883805,-117.884042,BW
Cal St. Northridge,Matadome,2400,Northridge,CA,34.242659,-118.524703,BW
California,Haas Pavilion,11877,Berkeley,CA,37.870319,-122.261579,P12
Campbell,"John W. Pope, Jr. Convocation Center",3095,Buies Creek,NC,35.408718,-78.735498,BSth
Canisius,Koessler Athletic Center,2176,Buffalo,NY,42.921635,-78.857789,MAAC
Central Arkansas,Farris Center,6000,Conway,AR,35.082461,-92.458811,Slnd
Central Connecticut,William H. Detrick Gymnasium,2654,New Britain,CT,41.69328,-72.765506,NEC
Central Michigan,McGuirk Arena,5300,Mount Pleasant,MI,43.582022,-84.772643,MAC
Charleston Southern,CSU Field House,881,North Charleston,SC,40.575923,-105.074921,BSth
Charlotte,Dale F. Halton Arena,9105,Charlotte,NC,35.307068,-80.732436,CUSA
Chattanooga,McKenzie Arena,10928,Chattanooga,TN,35.050889,-85.2992,SC
Chicago St.,Emil and Patricia Jones Convocation Center,7000,Chicago,IL,41.717547,-87.605296,WAC
Cincinnati,Fifth Third Arena,12012,Cincinnati,OH,39.131729,-84.510974,Amer
Clemson,Littlejohn Coliseum,9000,Clemson,SC,34.68126,-82.845223,ACC
Cleveland St.,Wolstein Center,13610,Cleveland,OH,41.500348,-81.674868,Horz
Coastal Carolina,HTC Center,3600,Conway,SC,33.799786,-79.015021,SB
