Date,Opponent ,GameTime,Location
9/12/20,Duke,2:30,"Notre Dame, IN"
9/19/20,South Florida,2:30,"Notre Dame, IN"
10/10/20,Florida State,7:30,"Notre Dame, IN"
10/17/20,Louisville,2:30,"Notre Dame, IN"
10/24/20,Pittsburgh,3:30,"Pittsburgh, PA"
10/31/20,Georgia Tech,3:30,"Atlanta, GA"
11/7/20,Clemson,7:30,"Notre Dame, IN"
11/14/20,Boston College,TBA,"Chestnut Hill, MA"
11/27/20,North Carolina,TBA,"Chapel Hill, NC"
12/5/20,Syracuse,2:30,"Notre Dame, IN"
12/12/20,Wake Forest,TBA,"Winston-Salem, NC"
