"title","location","jobType","description"
"Conversion Supervisor  with ASM Global - Allegiant Stadium ","Las Vegas, NV","Facility Operations/Event Staff: Conversion Crew","
ASM Global ASM Global is the world’s leading venue management and services company.  The company was formed by the combination of AEG Facilities and SMG, global leaders in venue, event strategy, and management.  The company’s elite venue network spans five continents, with a portfolio of more than 300 of the world’s most prestigious arenas, stadiums, convention and exhibition centers, and performing arts venues.  From Aberdeen to Anchorage, and Sydney to Stockholm, its venues connect people through the unique power of live experiences.  Allegiant Stadium
Allegiant Stadium, located in Las Vegas, NV, will be the future home of the Las Vegas Raiders of the National Football League and the UNLV Rebels of the NCAA Division 1 Football Bowl Subdivision.   The 65,000 seat, 1.75 million square foot, state of the art domed stadium will also host many world-class sporting and entertainment events, including the 2020 and 2021 Pac-12 Football Championship, and will serve as the annual site of the Las Vegas Bowl.  The stadium will also host large trade and corporate shows, public gatherings, private events, and a robust tour program. Job SummaryThe Conversion Supervisor is responsible for supporting and managing the various conversions for the stadium for all events to include installation and removal of synthetic turf, retractable seating, stages builds and furniture movement.  Cross-functional responsibilities to support the stadium for all event set-ups and breakdown of all facets of the facility.  Direct support to the Conversion Manager will be required with timekeeping, documentation support, site operational planning and development, and asset inventory control for all FF&E assets.  Essential FunctionsSupervises team members who sets up furniture for events, retractable seating, staging equipment, and other various objects in order to prepare and set the facility for various sized events.
Assists in the installation and maintenance of the synthetic turf for sporting and private events.  
Communicates and manages staff to execute relevant event information in order to ensure that all tasks are completed per Event Request Information.    
Documentation and maintenance of records of conversion activities (i.e. personnel matters and post-reporting) equipment repairs and maintenance logs and assigned work orders with execution. 
Complete assigned special projects and tasks assigned by Conversion Manager and Director of Operations.   
Coordinates the maintenance and management of equipment, storage, furniture, and conversion shops.  
 Required QualificationsA minimum education level of: High School Diploma or its equivalency    
A minimum of 2-4 year of related work experience, sport venue experience is a plus 
Must be able to work overnight hours, weekends and holidays
Must be able to understand and provide directions and to team members. 
Must be able to lift and carry up to 75 pounds on a frequent basis
Must be able to work under pressure, in time sensitive operations, in a fast-paced environment
Must be able to stand on feet for up to 8 hours at a time, sit, walk, bend and kneel, climb, grasp, stretch, stoop, and reach above head in conjunction with conversion tasks
Must be able to safely and efficiently operate equipment and power tools
Must be able to work independently and in a team environment
Must be able to work safely and complete tasks in a timely manner
Must be able to work in a warm or cold environment
Must be able to work in a moderate to very loud noise environment
Must be able to focus on task at hand while other activities are being executed
Requires wearing common protective or safety equipment
Must be able to comply with attendance rules and be available to work on a regular basis
Must possess strong leadership qualities

Preferred Qualifications (if applicable):
Experience of reading/understanding floor plans and CAD’s is preferred
Prior conversion experience preferred
Forklift certification and other operational equipment experience is preferred
 ASM Global reserves the right to change or modify the employee's job description whether orally or in writing, at any time during the employment relationship. ASM Global may require an employee to perform duties outside his/her normal description. Also, this document in no way states or implies that these are the only duties to be performed by the employee occupying this position. ASM Global is an Equal Opportunity/Affirmative Action employer, and encourages Women, Minorities, Individuals with Disabilities, and protected Veterans to apply. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. We thank all applicants for their interest, however, only those selected for an interview will be contacted."
"Custodian with ASM Global - Allegiant Stadium ","Las Vegas, NV","Facility Operations/Event Staff: Maintenance","
ASM Global ASM Global is the world’s leading venue management and services company.  The company was formed by the combination of AEG Facilities and SMG, global leaders in venue, event strategy, and management.  The company’s elite venue network spans five continents, with a portfolio of more than 300 of the world’s most prestigious arenas, stadiums, convention and exhibition centers, and performing arts venues.  From Aberdeen to Anchorage, and Sydney to Stockholm, its venues connect people through the unique power of live experiences.  Allegiant Stadium
Allegiant Stadium, located in Las Vegas, NV, will be the future home of the Las Vegas Raiders of the National Football League and the UNLV Rebels of the NCAA Division 1 Football Bowl Subdivision.   The 65,000 seat, 1.75 million square foot, state of the art domed stadium will also host many world-class sporting and entertainment events, including the 2020 and 2021 Pac-12 Football Championship, and will serve as the annual site of the Las Vegas Bowl.  The stadium will also host large trade and corporate shows, public gatherings, private events, and a robust tour program. Job SummaryThe primary responsibility of the Custodian is to maintain the cleanliness and upkeep of internal and external spaces of Allegiant Stadium property.  Duties include but are not limited to, operating floor care equipment, cleaning escalators, elevators, windows/glass, floors, walls, administrative offices, break rooms, restrooms, and bio-hazard spills.  All duties are to be performed in accordance with departmental and property policies, practices, and procedures. Essential FunctionsMaintain the highest standards of cleanliness and sanitization of the stadium’s public spaces, administrative offices, and other assigned areas.
Keep assigned areas maintained and cleaned in accordance with established policies and procedures
Keep areas clean of debris and trash; mop floors, vacuum, remove gum, clean marks and blemishes from multiple surfaces
Clean glass, stainless steel and other surfaces to remove prints & marks.
Keep all equipment properly maintained, clean, and free of marks.
Clean & sanitize all restrooms and locker rooms in assigned areas following procedures and as trained.
Change batteries in soap & paper dispensers.
Refill soap, hand sanitizer & paper dispensers as needed, restock carts & closets.
Clean-up bio-hazards according to proper procedures and as trained.
Moves and re-sets chairs, bales and other items relating to a specific setup.
Complete cleaning and sanitation logs for specific areas and complete daily maintenance checklists.
Reports emergencies and maintenance needs, lights out to manager and/or dispatch.
Submit inventory lists  of custodial supplies, equipment, and tools needed to clean the building to management.
Performs all other job-related duties as requested.
 Required QualificationsA minimum education level of High School Diploma or its equivalency 
Ability to lift a minimum of 30 lbs.
Ability to withstand prolonged walking, standing, bending, pushing, climbing and kneeling.
Work indoors and outdoors and be exposed to environmental factors such as excessive noise, seasonal heat and cold, hard to reach and unclean work areas, and hazardous material and equipment.
Good organizational skills and pay attention to detail
Knowledge of tools, supplies, and methods used in custodial work.
Ability to work independently in the absence of supervision.
Must have the ability to do multiple tasks simultaneously.
Works effectively under pressure and/or stringent schedule to produce accurate results.
Excellent customer service skills, positive attitude, with the ability to work in cooperation with others.
Professional appearance and demeanor, able to follow uniform policy at all times.
Work varied shifts, including weekends and holidays

  ASM Global reserves the right to change or modify the employee's job description whether orally or in writing, at any time during the employment relationship. ASM Global may require an employee to perform duties outside his/her normal description. Also, this document in no way states or implies that these are the only duties to be performed by the employee occupying this position. ASM Global is an Equal Opportunity/Affirmative Action employer, and encourages Women, Minorities, Individuals with Disabilities, and protected Veterans to apply. We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law. We thank all applicants for their interest, however, only those selected for an interview will be contacted.  "
"Desktop Support  Specialist with Phoenix Suns","Phoenix, AZ","Administration/General Management: General Management/Profit & Loss","Come join Arizona's home town teams, Phoenix Suns and Phoenix Mercury at Talking Stick Resort Arena as our Desktop Support Specialist! This role serves as the first point of contact for employees seeking technical assistance over the phone or thru email. With an electric culture and our F.A.M.I.L.Y. Values, the Suns organization is an inviting and innovative company to work at.
What we need from our Specialist:
The Specialist will perform remote troubleshooting through diagnostic techniques and pertinent questions, resolving issues with the best solution based on the issue and details provided by customers. They will walk the customer through the problem-solving process and direct unresolved issues to the next level of support personnel. Our specialist will deploy new desktop computer systems utilizing SCCM imaging, maintain and support printers, scanners and associated multi-function devices and deliver accurate information on IT products or services.
Additional duties will include recording events and problems and their resolution in logs, following up and updating customer status and information, passing on any feedback or suggestions by customers to the appropriate internal team, identify and suggest possible improvements on procedures, and participation in on-call rotation.
Our Ideal Candidate will possess:
Expert level knowledge of Windows 7 thru 10 is required
Solid grasp of MacOS
Strong collaboration, communication, time management, problem-solving and organizational skills. Validated ability to multi-task and handle projects timely
Excellent written and verbal skills. Possess high degree of discretion, integrity, professionalism, and accountability
Solid ability to work with others in a collaborative, respectful manner
High school or equivalent required
Minimum 3-years IT experience
Must possess a valid driver’s license
Would this position be operating any vehicles or equipment? Yes No
What can you expect?
This role maintains traditional business hours with some game day responsibilities including some evenings, weekends, holidays and additional hours as business needs arise. Travel to and from the arena to the practice facility, local offsite collocation facility, Chase Field, as well as Prescott Valley, AZ will be required. The Specialist is a computer based position and will require extended periods of time working in front of a computer screen.
M-Medium Work – Exerting 20 to 50 pounds of force occasionally, and/or 10 to 25 pounds frequently, and/or greater than negligible up to 10 pounds constantly to move objects.
Ability to crawl
Ability to climb stairs
Ability to ascend or descend ladders, stairs
Repeating motions that may include the wrists, hands and/or fingers
Moving about to complete tasks or moving from one worksite to another
Moving self in different positions to accomplish tasks in various environments including tight and confined spaces
Able to stand for several hours
Ability to walk short/long distances
Capable of distinguishing colors and shades of color
Capable of listening carefully and speaking to others on the telephone/two-way radio
Communicating with others to exchange information
Ability to respond quickly to sounds/alarms
Ability to see and respond to dangerous situations
Ability to Read, Write & Speak in English
The work environment characteristics described here are representative of those that must be met by a teammate to successfully complete the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the necessary functions. The Phoenix Suns are an Equal Opportunity Employer M/F/D/V
Please note this job description is not crafted to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities and activities may change at any time with or without notice."
"Data Center Operations Analyst I with PGA TOUR","Ponte Vedra Beach, FL","Technical Services: IT Database Management/Services","This position will provide daily operation and monitoring of ShotLink associated computer systems, manages client access to PGA TOUR data (feeds), and other operational tasks. Provides first level troubleshooting and/or problem resolution with a focus on communicating with ShotLink team, other PGA TOUR departments and external customers.QUALIFICATIONSAssociate of Arts / Associate of Science degree or equivalent computer/technology related job experience or other related certifications required. Bachelor’s degree preferred.
 PC, Microsoft Office Suite experience (Outlook, Word, Excel), understanding of basic computer networking, basic user administration and device management required. Familiarity with IBM AS/400 preferred
Ability to articulate complex issues via phone, real-time messaging and email is necessary
Must be adaptable, detail oriented and able to prioritize tasks appropriately
Zendesk, or similar ticketing systems experience preferred 
Entry level understanding of JSON is a plus
Knowledge of the game of golf scoring and tournament season preferred. 
Must be able work a varied schedule to include up to 12+ hour shifts, evenings and weekends
RESPONSIBILITIES/DUTIESTrain to Setup/Monitor/Process Tournament scoring related processeso   Perform daily, weekly and annual tasks with an emphasis on Tournament setup and configurationo   Operation and first level problem determination of PGA TOUR’s Scoring Systemo   Operation and first level problem determination of Scoring Data processes from IBM AS/400 to multiple clients and PGATOUR.como   Process Tournament Eventso   Provide manual data entry for Scoring System when requiredUnderstand the PGA TOUR Syndicated Feed System o   Provide support for PGA TOUR Syndicated Feed Systemo   Operation and first level problem determination of PGA TOUR’s Syndicated Feed Systemo   Manage client contracts and access to PGA TOUR’s Syndicated Feed Systemo   Troubleshoot client issues with PGA TOUR’s Syndicated Feed SystemProvide Support for general operational Issueso   Operation and first level problem determination of system connectivity and data transfer issueso   Daily operation of AS/400: Media management and backups, management of tournament records, processing Tournaments, monthly system audits and installing updates/patcheso   Documentation of processes, procedures and operational taskso   Deploy software updates through the Implementor Toolo   Perform QA functions on a broad number of TOUR systemso   Perform daily backup archival procedures.   Provide clear documentation o   Maintain/create process documentationo   Document issues and resolutions in an IT Ticketing SystemSpecial projects or other duties as assigned.​ Our benefits may include:
·       Medical, Dental and Vision·       Life and Disability insurance ·       Paid time off and paid holidays·       401(k) plus employer match and contribution·       Health Savings Account/Medical and Dependent Care Flexible Spending Accounts ·       Wellness Program ·       Membership to TPC Sawgrass 

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"National Start Coach with USA Bobsled & Skeleton","","Player Operations: Coach - Elite Athlete Coach","
SummaryThe National Start Coach will work in cooperation with national team and development team bobsled and skeleton coaches. This position is responsible for the leadership, development, and execution of the bobsled and skeleton start programs to ensure optimal performance by USA athletes at domestics and international competitions, including the World Championships and Olympic Games.USA Bobsled/Skeleton (USABS) is dedicated to providing an athlete-focused training environment, which is built on the development of the whole athlete. Our goal is to provide a positive and competitive training culture by teaching physical, mental, and technical skills. USABS strives to be the world leader in bobsled and skeleton training and competition. Duties and Responsibilities1.       Create a culture of passion, teamwork, support, innovation, and clear communication throughout all aspects of USABS2.       Inspire and support athletes in their pursuit of excellence through verbal communication, actions, and decision-making3.       Develop an elite start training program that includes the United States Olympic & Paralympic  (USOPC) Training Center push track, indoor start facility located at Mt. Van Hoevenberg, and facilities at the Utah Olympic Park4.       Provide pre-season coaching support and on-site support at domestical and international bobsled and skeleton competitions5.       Organize and manage bobsled and skeleton push camps and push championships in collaboration with USABS coaching staff6.       Determine the training needs of athletes and provide individual and group technical instruction on pushing bobsleds and skeleton sleds7.       Facilitate athlete strength & conditioning and sprint programs in coordination with athletes’ personal coaches8.       Collaborate with the USABS coaching staff to provide start feedback and analysis9.       Attend all team camps, programs, and functions, unless otherwise approved10.   Ensure athletes achieve their peak performance and fitness at World Championships and Olympic Games11.   Provide input on national team selection and team combinations.12.   Inventory and maintain start training equipment 13.   Other duties as assigned Skills
·        Commitment to the mission of USABS·        Ability to maintain positive and productive relationships with USABS staff, contractors, and athletes ·        Work as part of a multi-function team to achieve the goals of the USABS strategic plan·        Ability to manage multiple projects and priorities ·        Strong customer service skills ·        Adhere to USABS code of conduct, policies, procedures, bylaws, U.S. Center for SafeSprot policies, and USOPC coaching ethicsExperience·        5+ years of sport-specific experience is preferred·        Successful background check and SafeSport Training required
Location of Employment: Lake Placid, NY
Employment Status: Permanent, Full-time PositionHours of Work: The nature of the position demands flexible hours until work is completed to meet the requirements, including but not limited to working extended hours, evenings, and weekends, particularly in-season and during off-season camps. Candidates must be willing and able to travel 120+ days per year, on the IBSF World Cup tour and to related bobsled and skeleton events.We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Vice President of Marketing with Ottawa Senators","Ottawa, ON","Marketing: Business Development","We are seeking a Vice President of Marketing that is committed to being innovative, strategic and a key member of the Senior Executive Team. You will lead marketing strategy, create digital and traditional programs, and assist the sales organization with innovative activation strategies. The Vice President of Marketing will report directly to the President of Business Operations with regular interactions directly with ownership along with a strong expectation of tight collaboration with other Business Units. 
TOP DIRECTIVESHigh-level marketing strategy experience is imperative for this role. We are seeking a leader that can transform marketing from a tactical and operational function, to one that is strategic. You will develop and execute a B2B and B2C marketing strategy to achieve measurable financial results, ensure brand advancement and grow average attendance.
RESPONSIBILITIESLead strategic marketing, advertising, brand, web and social media initiatives.Develop and sustain a high performance culture, and continuously improve marketing capabilities via talent development and retention.
Partner with Sales Department to develop best-in-class strategic alliances and sponsorship activation along with a highly effective ticketing strategy.
Ensure achievement of the goals and objectives for attendance, sponsorship revenue, suite sales, F&B and merchandise.

QUALIFICATIONS
10+ years experience leading a strategic marketing function
10+ years senior management experience
Experience leading a team that has a variety of functions while also working collaboratively with other parts of the organization
Significant past history focused upon brand marketing
Sports or Entertainment experience essential
Past history managing consumer and retail products
Partner with Corporate Sales to develop best-in-class strategic alliances and sponsorship activation.
Conduct historical and predictive analysis to enhance business strategy and provide leadership/subject matter expertise on macro and micro issues facing the business.
Ensure achievement of the goals and objectives for attendance, sponsorship revenue, suite sales, F&B and merchandise.
Senators Sports & Entertainment supports the goals of Ontario Regulation 191/11 - Integrated Accessibility Standards and is pleased to accommodate applicants who have a disability during the recruitment process. Please inform the Human Resources Department at 613-599-0250 if you require a disability related accommodation in order to participate in the recruitment process.SSE is committed to building an inclusive process that respects the dignity and independence of people with disabilities"
"2020 Soccer Operations Intern with Hartford Athletic","Hartford, CT","Internship: Internship","Hartford Athletic Soccer Operations Internship Opportunity Hartford Athletic is Connecticut’s professional soccer team competing in the United Soccer League. Hartford Athletic strives to provide a world-class professional soccer experience and to build community through the beautiful game.  Our Club aims to make the city, state, and region proud, and, in doing so, make Hartford the best place to live, work, and play.As we look forward to the return of the 2020 season, it is also that time to begin our Soccer Operations Internship Opportunity looking into the 2021 season.  This program allows us to assess candidates in real time and determine if they have the chops to officially join our technical staff team for the 2021 season.  We are looking for like-minded, professional sports loving individuals who are excited for the chance to show us if they have what it takes to become a pro. The areas that we are looking for interns in are as follows:Duties & Responsibilities:Team AdministrationCorresponds with players and staff daily regarding: availability, schedule updates, trip information, etc.
Reports to all training sessions and games (home games); follows the schedule of the team including off days
Assist with management and oversight of Soccer Operations budget
Sets up and breaks down training day meals and post-game home meals
Supports the Director of Soccer Operations in tracking team expenses
Assists the Athletic Trainer with setup and breakdown 
Transport players to medical appointments 
Equipment ManagementEnsure players and staff are properly outfitted and supplied with appropriate equipment
Assist coaching staff with setup and breakdown before and after training sessions
Organize and track all team apparel and equipment
Set up and organize locker room on all game days
Collect player kits post-training/game for laundry services 
Requirements:Ability to work nights, weekends and holidays on an as-needed basis as well as for all match days during internship
College credit available if applicable 
Lunch will be provided on double session training days
Travel expenses are reimbursed (mileage for bringing players to appointments, picking up meals, etc.)
Personal vehicle


We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Social Media Intern with Green Bay Packers","Green Bay, WI","Internship: Internship","
Job Description: Assist the Green Bay Packers Digital team in all social media efforts. This is a paid internship and entails full-time weekdays, gamedays, holidays and special events. 
Timeframe:  July 2020 – June 2021 (start date TBD) 
Job Responsibilities:
Assist with content creation and posting for the Green Bay Packers’ official social media accounts, including Facebook, Twitter, Instagram, Snapchat and TikTok. 
Design graphics and other types of visual content for use on social media and digital channels.
Provide live social coverage on gamedays and other Packers events.
Find innovative ways to grow and engage the Packers’ social media audiences.
Assist with monitoring and tracking Packers-related activity across all platforms.
Utilize social media analytics tools to produce reports that evaluate the performance and effectiveness of social media campaigns. 
Help with photo needs, including editing, curating, organizing, shooting and posting to social media.
Assist with miscellaneous Packers social and digital projects as necessary.

Qualifications:
Undergraduate degree and experience in related field.
Strong graphic design and video-editing skills, including experience with Adobe Photoshop, After Effects and Premiere Pro. 
Understanding of how to write copy, create content and post on each social platform.
Ability to excel in a fast-paced, ever-changing environment as part of a team.
Strong written and communication skills.
Knowledge of the Green Bay Packers’ organization and the NFL is beneficial. 
Previous experience working with sports/brand accounts is a plus. 
Willingness to learn about emerging forms of social media, industry trends and best practices.
Ability to produce high-quality work while managing multiple projects under tight deadlines.
Ability to analyze social media data and organize into actionable information.
Flexible availability to work at all hours of the day, throughout the week and holidays (as needed).    

Supervised By: Social Media Manager We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"SVP, Stadium Event Production & Services with Arizona Cardinals Football Club","Glendale, AZ","Event Management: Event Operations/Management","SVP, Stadium Event Production & Services – Glendale, AZDepartment: Stadium Event Production & Services   Overall Responsibility:The Sr Vice President is responsible for the overall management, promotion and operation of Sportsman’s Park (SP) including booking, private event sales, P&L/finance management, marketing, staffing, production maintenance and all related operations.  Duties include providing leadership and supervision of reporting departments, management of both event production and operations staff, acting as liaison with State Farm Stadium stakeholders, industry associates, governing agencies, communication media and the general public.   Essential Functions:Plan, develop and lead large-scale events such as festivals, concerts and third-party events held on SP through effective communication and planning with both internal and external resources, partners and vendors.
Manage the process of vetting and bidding for potential future events, including permitting.
Manage the workload and development of team members on the Event Production and Operations Teams, ensuring consistent practices across all events.
Responsible for recruiting, hiring, training, supervising, compensation, succession planning and evaluating management, administrative, and supervisory staff.  Determines and establishes organizational structure and personnel staffing requirements.
Responsible for the development of team member job descriptions, duties, responsibilities, and performance standards for all positions with provisions for timely and effective employee performance evaluations.  
Plans, organizes, coordinates and directs all activities and personnel. Engaged in maintaining and operating Sportsman’s Park.
Evaluates existing policies and procedures and recommends improvements for SP and/or improve the efficiency and safety of operations. 
Oversee the development of annual operating budget, calendar, event schedule, dates and hours of operations, attendance and revenue projections. 
Implementation and monitoring of a detailed event budgets. Supervises cost accounting required of assigned events to include facility rental, house equipment rentals, supplies and third party services purchased, event supervision, security, announcers, parking attendants, stage managers and stage crew.
Prepares and maintains required reports/records for State Farm Stadium stakeholders, government agencies, and upper management team. 
Responsible for control of day-to-day operations, assuring the coordination of plans and events, including post event operational and financial review and analysis. 
Ensures that all production/operations are conducted in accordance with applicable local, state and federal regulations. 
Organize operational meetings with accounting about financial projections and/or with staff and supervisors for training. 
Work closely with concession partner to design strategies and implementation of food and beverage program including general concessions or catering, for both public and private events.
Handle guest service via phone calls, email inquiries or website posts. Conduct the required investigation and have the issues resolved within a 24-hour turnaround time.

Required Qualifications:
A minimum education level of: Bachelor of Arts/Sciences Degree (4-year) in a related field    
10 years of related work experience in facility management and booking events
Must have management experience and exceptional leadership abilities
Must have proven track record of developing and managing budgets
Experience and knowledge in overseeing and maintaining a facility
Computer savvy and proficient in Microsoft Office (Word, Excel and Outlook)
Self-motivated with the ability to work in a fast-paced environment
Excellent written, listening and verbal communication skills
Must be creative, detail-oriented person with an outgoing personality             
Experience with management, leadership and conflict resolution
Knowledge of music industry preferred 
Ability to work non traditional hours including evenings, weekends and holidays

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"Daytime Custodian Crew with Phoenix Suns","Phoenix, AZ","Administration/General Management: General Management/Profit & Loss","
*In order to be considered for this role, after clicking ""apply now"" above and being redirected, you must fully complete the application process on the follow-up screen. *Talking Stick Resort Arena and the Phoenix Suns are seeking a custodian for a full time day/evening role! This custodian will perform custodial duties, which include, but are not limited to: sweeping and mopping floors; cleaning and maintaining washrooms, dressing rooms, office spaces and arena access areas; cleaning glass surfaces; collecting and emptying garbage receptacles.
What we need from our Custodian:
Maintain day-to-day building cleanliness
Promptly report all maintenance issues
Adheres to all safety and infection control procedures to ensure sanitary conditions
Be responsive to needs of guests, vendors, and staff
As needed pressure wash, carpet clean, strip and wax floors.

Our ideal candidate will possess:
The ideal Custodian will have strong interpersonal and organizational skills, the ability to multi task and be skilled with time management. The position function both independently and as a part of a team. They should be capable of planning, prioritizing and coordinating multiple projects simultaneously as well as read, write and speak instructions and event specifications in English. Experience and knowledge in custodial event and office operations with current OSHA standards is helpful.What can you expect?This position is mainly days with some evening shifts, to include weekends and some holidays. Schedule will be flexible and some over time may occur as the business need arises. This is a highly physical role, candidates should anticipate that they will be standing and/or walking continuously during their shift, as well as bending, lifting (50 pounds) and climbing stairs frequently to perform the essential duties of this role. They will need to be able to climb onto and down from equipment frequently. The custodian will also occasionally walk on slippery or uneven surfaces. Due to the nature of the industry this role will work in an environment with frequent loud noises.The physical demands are representative of those required for the employee to be successful in performing the essential functions of this job. Reasonable accommodations may be made to assist individuals with disabilities.Additional duties, expectations, demands, etc. may be added or changed to this document on an as-needed basis in order to meet organizational needs.The Phoenix Suns are an Equal Opportunity Employer M/F/D/V"
